column,n_outliers,pct_outliers,lower_bound,upper_bound
output,255,2.322615903087713,0.2700507614213198,0.723248730964467
input1,0,0.0,-0.875,2.125
input2,764,6.958739411603972,0.642578125,1.001953125
input3,0,0.0,-0.4502245508982037,1.7503742514970062
input4,16,0.14573276254668002,0.11141764644441704,0.7514270922739472
input5,1283,11.685945896711905,0.42307692307692296,0.7307692307692308
input6,0,0.0,-0.5849306049162444,1.383414083390149
input7,649,5.911285180799709,0.07853403141361243,0.7068062827225132
input8,159,1.4482193278076327,0.5488721804511276,0.8066595059076263
input9,0,0.0,-0.021594684385382312,1.0282392026578075
input10,992,9.035431277894162,-0.0716012262704871,0.2611425539441105
input11,106,0.9654795518717553,0.026937911870055217,0.10595506172509038
input12,179,1.6303852809909827,0.2566046966731902,0.8104207436399214
input13,261,2.377265689042718,-0.04166666666666688,0.5138888888888891
input14,419,3.8163767191911835,0.08510638297872344,0.42553191489361697
input15,982,8.944348301302487,0.021739130434782566,0.31159420289855067
input16,327,2.9784133345477732,-0.01731601731601734,0.15584415584415584
input17,296,2.6960561071135802,0.0018356278681684601,0.41301627033792243
input18,73,0.6649057291192276,-0.030150753768844192,0.17085427135678377
input19,5,0.04554148829583751,-0.11603876385264467,0.22157856557415656
input20,50,0.45541488295837507,0.39382143654079793,0.5385499053711187
input21,142,1.2933782676017853,0.18047079337401928,0.7384481255448996
