model,rmse,mae,r2,inference_time
Random Forest,0.061975534694054764,0.04663768641282864,0.5094266229311608,0.31656742095947266
Gradient Boosting,0.05810108677244165,0.04350170090380194,0.5688464931215469,0.09674835205078125
SVM,0.08893810134768712,0.06763287919815097,-0.010273866417746857,2.451446294784546
MLP,0.009994656241187555,0.006362659187232677,0.9872415142157023,0.0705418586730957
Gaussian Process,0.0018104695957064422,0.001284504491129716,0.9995813550249266,0.37509584426879883
LSTM,0.007171202181235526,0.004109446560246829,0.993431785230788,0.7700760364532471
